File Name,No,N,C,Bound,NF,NFratio,tNF,FFD,FFDratio,tFFD
N10000C1000_01.BPP,1,10000,1000,4914,6556,33.41,0.00406,4920,0.12,4.79
N10000C1000_02.BPP,2,10000,1000,4968,6580,32.45,0.00395,4977,0.18,4.81
N10000C1000_03.BPP,3,10000,1000,4999,6692,33.87,0.00415,5021,0.44,4.85
N10000C1000_04.BPP,4,10000,1000,5027,6682,32.92,0.00399,5062,0.7,4.87
N10000C1000_05.BPP,5,10000,1000,4986,6656,33.49,0.00392,5015,0.58,4.82
N10000C1000_06.BPP,6,10000,1000,5511,7636,38.56,0.0043,5755,4.43,6.16
N10000C1000_07.BPP,7,10000,1000,5505,7614,38.31,0.00416,5741,4.29,6.14
N10000C1000_08.BPP,8,10000,1000,5524,7667,38.79,0.0042,5775,4.54,6.19
N10000C1000_09.BPP,9,10000,1000,5467,7594,38.91,0.00422,5695,4.17,6.09
N10000C1000_10.BPP,10,10000,1000,5499,7618,38.53,0.00424,5747,4.51,6.07
N10000C1000_11.BPP,11,10000,1000,3498,4657,33.13,0.00335,4152,18.7,4.71
N10000C1000_12.BPP,12,10000,1000,3494,4634,32.63,0.00344,4145,18.63,4.67
N10000C1000_13.BPP,13,10000,1000,3491,4613,32.14,0.00344,4136,18.48,4.67
N10000C1000_14.BPP,14,10000,1000,3494,4626,32.4,0.00345,4142,18.55,4.67
N10000C1000_15.BPP,15,10000,1000,3491,4655,33.34,0.00352,4142,18.65,4.67
