File Name,No,N,C,Bound,NF,NFratio,tNF,FFD,FFDratio,tFFD
HARD1.BPP,1,200,100000,56,66,15.15,0.00013,60,6.67,0.00462
HARD2.BPP,2,200,100000,56,66,15.15,0.000126,60,6.67,0.00455
HARD3.BPP,3,200,100000,55,64,14.06,0.000126,59,6.78,0.00461
HARD4.BPP,4,200,100000,56,65,13.85,0.00013,60,6.67,0.00466
HARD5.BPP,5,200,100000,55,65,15.38,0.000133,59,6.78,0.00457
HARD6.BPP,6,200,100000,56,65,13.85,0.00013,60,6.67,0.00462
HARD7.BPP,7,200,100000,54,63,14.29,0.00013,59,8.47,0.00448
HARD8.BPP,8,200,100000,56,66,15.15,0.000128,60,6.67,0.00459
HARD9.BPP,9,200,100000,56,65,13.85,0.000126,60,6.67,0.00457
HARD10.BPP,10,200,100000,55,65,15.38,0.000139,59,6.78,0.00663
